Gene,mean_exp_c57,koff_c57,kon_c57,regime_c57,regime_v2_c57,s_c57
0610007P14Rik,1.82,356.01218176,1.2915914,unz,uz,502.19203139
0610009B22Rik,3.05,1.26663669,0.62893763,uz,uz,9.19825056
0610010F05Rik,0.35,21.23792178,0.34582821,uz,uz,21.7077245
1110004E09Rik,2.31,0.35585992,0.25737082,b,b,5.50127896
1110007C09Rik,0.88,1.42390799,0.12548747,uz,uz,10.85534996
1110008L16Rik,2.35,1.58767604,0.65948228,uz,uz,8.00533924
1110012L19Rik,1.42,73.59383047,1.11856466,unz,uz,95.16063712
1110032A03Rik,0.12,1.68525837,0.11258722,uz,uz,1.86936878
1110037F02Rik,1.86,2.04244584,0.71117614,uz,uz,7.19109453
1110038B12Rik,3.95,112.05610421,1.99450962,unz,unz,226.08397397
1110038F14Rik,2.08,11.76598333,0.83021596,uz,uz,31.49327773
1110051M20Rik,0.75,7.62897586,0.21580007,uz,uz,27.21839724
1110057K04Rik,0.91,102.17301691,0.44026527,uz,uz,211.58465022
1110058L19Rik,0.59,0.08479904,0.03355299,b,uz,2.06385286
1110059E24Rik,1.57,0.37793585,0.39038547,b,uz,3.08691778
1110059G10Rik,0.22,0.32781139,0.01913311,b,uz,4.01634088
1190005I06Rik,0.57,3.42750193,0.42570401,uz,uz,5.15991345
1300002E11Rik,1.31,16.15373371,0.90026164,uz,uz,24.84033892
1300002K09Rik,0.09,12.525637699999999,0.030301986800000003,uz,uz,39.1746597
1300017J02Rik,0.03,7.99017592,0.00558137301,uz,uz,44.1966999
1500009L16Rik,0.84,0.20297243,0.11169997,b,uz,2.36009413
1500011B03Rik,0.94,75.67870419,0.45687165,uz,uz,155.91035199
1500012F01Rik,4.8,1.09707288,1.04317954,unz,unz,9.84432626
1500015A07Rik,0.2,1.594179,0.07607681,uz,uz,4.49793613
1600012H06Rik,0.51,16.830792300000002,0.1915198,uz,uz,45.3839211
1600014C10Rik,0.21,1.6573349,0.11409673,uz,uz,3.30970361
1600020E01Rik,1.26,0.47674199,0.3192466,b,uz,3.13863157
1700001L05Rik,1.16,0.31745734,0.10064075,b,uz,4.83441773
1700017B05Rik,0.96,0.48399483,0.16452865,b,uz,3.77490474
1700020I14Rik,1.76,62.87873534,0.88775675,uz,uz,126.15291856
1700021F05Rik,2.73,1.82881027,0.62409952,uz,uz,10.73217182
1700025G04Rik,0.78,0.49270294,0.16219688,b,uz,3.14888561
1700028J19Rik,0.08,24.1803854,0.034763331200000004,uz,uz,57.644648200000006
1700030C10Rik,0.05,36.9387209,0.0102060603,uz,uz,187.329654
1700030J22Rik,0.06,15.59615521,0.06115764,uz,uz,16.60383426
1700030K09Rik,0.53,1.55532827,0.16311764,uz,uz,5.62829309
1700037H04Rik,1.02,1.79150803,0.56410314,uz,uz,4.26708405
1700061G19Rik,1.37,100.85502623,0.71453434,uz,uz,194.19458586
1700086O06Rik,0.08,0.27170564,0.02029598,b,uz,1.08879588
1700123M08Rik,0.02,11.1982873,0.00810351853,uz,uz,28.503119
1700123O20Rik,1.48,2.8862067000000002,0.61948267,uz,uz,8.3643776
1810009A15Rik,11.45,2.73491827,1.31601398,unz,unz,35.25270777
1810013L24Rik,2.22,2.67865534,0.96205535,uz,uz,8.40055325
1810014B01Rik,0.05,10.4263845,0.0197178391,uz,uz,25.8640201
1810024B03Rik,0.23,22.45246153,0.17732592,uz,uz,29.79341521
1810026J23Rik,1.35,4.18669159,0.47031496,uz,uz,13.31877442
1810030O07Rik,3.16,24.40047643,2.6560695,unz,unz,32.14931783
1810032O08Rik,0.95,2.16315741,0.70964067,uz,uz,3.83172191
1810037I17Rik,15.38,18.82059526,2.56873883,unz,unz,128.04245064
1810043G02Rik,0.28,1.13298473,0.29974570000000006,uz,uz,1.32230198
1810043H04Rik,1.64,144.5194381,0.74593891,uz,uz,319.50085302
1810058I24Rik,4.37,0.96489829,0.80183244,b,b,9.62467849
2010012O05Rik,0.63,141.41611629,0.3455948,uz,uz,256.94027988
2010107E04Rik,15.21,1.76336071,1.70513146,unz,unz,30.94515499
2010107G23Rik,0.34,8.64014921,0.18586516,uz,uz,16.35202371
2200002D01Rik,0.46,8.09421529,0.08462864,uz,uz,44.27400137
2210013O21Rik,0.82,0.39259543,0.22472620000000001,b,uz,2.26293878
2210015D19Rik,0.7,4.46120463,0.69881319,uz,uz,5.1635208
2210016F16Rik,3.83,8.06246772,1.34867409,unz,unz,26.72039518
2210016L21Rik,3.52,3.0586263,1.83379197,unz,unz,9.3900361
2210018M11Rik,0.81,2.7170827,0.1337908,uz,uz,17.22459183
2300009A05Rik,0.11,23.63754685,0.0811794,uz,uz,33.44902116
2310003H01Rik,0.53,0.91538975,0.12177789,b,uz,4.47912579
2310011J03Rik,1.52,148.18531037,0.95602645,uz,uz,236.7258642
2310022B05Rik,3.43,5.9616168,1.21945847,unz,uz,20.22521561
2310030G06Rik,0.35,7.29067187,0.25192268,uz,uz,10.62607528
2310033P09Rik,0.74,49.63236641,0.20563857,uz,uz,179.01558293
2310039H08Rik,1.93,3.83865415,0.47189616,uz,uz,17.65827506
2310040G24Rik,0.14,2.64302519,0.07297501,uz,uz,5.20780204
2310057M21Rik,0.72,0.78388475,0.18285941,b,uz,3.80608867
2310061J03Rik,0.15,1.23717967,0.06221551,uz,uz,3.18592617
2410004B18Rik,1.0,2.51492902,0.3782541,uz,uz,7.66448443
2410004N09Rik,3.19,156.47329065,1.43161009,unz,unz,352.32620377
2410004P03Rik,0.02,10.88301,0.00875731403,uz,uz,26.8318023
2410006H16Rik,6.02,3.52725908,1.37778449,unz,unz,21.43737532
2410015M20Rik,7.69,263.85131413,2.12400277,unz,unz,962.4801335000001
2510003E04Rik,0.83,121.66195334,0.76078362,uz,uz,132.93989831
2510009E07Rik,0.68,33.91539639,0.2901896,uz,uz,80.51796361
2510039O18Rik,0.61,2.59812876,0.29885313,uz,uz,5.90208166
2610001J05Rik,1.68,70.45133501,0.96337117,uz,uz,124.61098613
2610002J02Rik,0.76,1.3549438,0.40056616,uz,uz,3.34120678
2610002M06Rik,0.06,13.500001500000002,0.026530238900000003,uz,uz,32.470239899999996
2610008E11Rik,0.09,0.43357157,0.00927701,b,uz,4.11901448
2610015P09Rik,0.75,19.01492728,0.5534972,uz,uz,26.41860793
2610018G03Rik,0.05,11.00728981,0.03400323,uz,uz,17.29817985
2610035D17Rik,0.27,3.28285675,0.178144,uz,uz,5.16765614
2610301B20Rik,0.25,21.52702912,0.21950732,uz,uz,24.69234672
2610306M01Rik,0.12,21.51107003,0.0635476,uz,uz,39.506432000000004
2610318N02Rik,0.77,0.84356321,0.17921748,b,uz,4.36786093
2610507B11Rik,2.39,7.10461543,1.43815909,unz,uz,14.18008676
2610524H06Rik,1.79,1.36211374,0.49153917,uz,uz,6.75158578
2700029M09Rik,1.15,0.73812003,0.55305537,b,uz,2.6945384
2700049A03Rik,1.16,3.13210288,0.81419314,uz,uz,5.62323304
2700081O15Rik,0.81,0.09744454,0.0313729,b,b,3.32177451
2700097O09Rik,4.6,1.78457547,0.92188884,uz,uz,13.49021399
2700099C18Rik,0.6,0.87461433,0.19730654,b,uz,3.27126463
2810004N23Rik,4.02,0.5361198,0.49252093,b,uz,8.39065194
2810006K23Rik,0.66,0.31251575,0.07371058,b,uz,3.44414449
2810008D09Rik,1.64,116.68843458,1.27298449,unz,uz,151.78415205
2810025M15Rik,3.91,6.21445147,1.22758505,unz,uz,23.68688139
2810408I11Rik,0.23,0.90514165,0.03763201,b,uz,5.77953387
2810408M09Rik,1.71,0.93826879,0.41363567,b,uz,5.59824351
2810417H13Rik,0.78,4.92605226,0.22717392,uz,uz,17.79962423
2810428I15Rik,1.88,0.27676256,0.17074606,b,uz,4.93157484
2810474O19Rik,7.46,8.83527325,2.10641465,unz,unz,38.74659813
2900041M22Rik,0.14,21.47119963,0.07339306,uz,uz,41.33025619
2900060B14Rik,0.02,9.52069108,0.00933281639,uz,uz,23.519316399999997
3110002H16Rik,0.83,73.23459353,0.73589992,uz,uz,83.41370526
3110040N11Rik,0.84,2.12515476,0.5426163,uz,uz,4.12686333
3110043O21Rik,0.28,1.50962533,0.29889055,uz,uz,1.71514914
